Titel;Author                   ;My Rating ;Average Rating ;Bookshelves       ;Serie;Serien Nr.;ISBN Combined;Book Id  ;Publisher                                   ;Binding               ;Number of Pages ;Year Published ;Original Publication Year ;Date Read  ;Date Added ;My Review                                                                                                                                                                                                                                                                                                            ;Private Notes ;Read Count ;PublishedDate ;PageCount ;Categories                              ;Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;ImageURL
Sky in the Deep ;Adrienne Young           ;0;          3.95 ;to-read           ;Sky and Sea;1;9781250168450;34726469;Wednesday Books                             ;Hardcover             ;340;2018;2018;           ;29.08.2022;                                                                                                                                                                                                                                                                                                                     ;              ;0;24.04.2018;349;Young Adult Fiction                     ;In this stunning debut, a young Viking warrior must challenge everything she's been taught in order to survive and protect those she loves.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;http://books.google.com/books/content?id=ncBODwAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
Tränen sind immer das Ende ;Akif Pirincci            ;0;          2.86 ;to-read           ;;;OCLC:1392034894   ;17666457;                                            ;Paperback             ;256;1980;1980;           ;28.07.2020;                                                                                                                                                                                                                                                                                                                     ;              ;0;1983;0;                                        ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
Learning Python with Raspberry Pi ;Alex Bradbury            ;2;          3.82 ;read;;;9781118717059;17805734;John Wiley & Sons                           ;Paperback             ;288;2014;2013;           ;16.02.2020;War nicht wirklich neues dabei                                                                                                                                                                                                                                                                                       ;              ;1;11.02.2014;288;Computers                               ;The must-have companion guide to the Raspberry Pi User Guide! Raspberry Pi chose Python as its teaching language of choice to encourage a new generation of programmers to learn how to program. This approachable book serves as an ideal resource for anyone wanting to use Raspberry Pi to learn to program and helps you get started with the Python programming language. Aimed at first-time developers with no prior programming language assumed, this beginner book gets you up and running. Covers variables, loops, and functions Addresses 3D graphics programming Walks you through programming Minecraft Zeroes in on Python for scripting Learning Python with Raspberry Pi proves itself to be a fantastic introduction to coding.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;http://books.google.com/books/content?id=ziDcAgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
To Kill a Kingdom ;Alexandra Christo        ;0;          3.76 ;to-read           ;Hundred Kingdoms;1;9781250112682;34499221;St Martin's Press                           ;Hardcover             ;344;2018;2018;           ;29.08.2022;                                                                                                                                                                                                                                                                                                                     ;              ;0;06.03.2018;352;Young Adult Fiction                     ;Lira, a famous siren, must prove herself by stealing the heart of the man, a siren-hunting prince who's threatening her race in this action-packed debut.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;http://books.google.com/books/content?id=2yg_DwAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
Der Nachtclan ;Alexey Pehov             ;2;          4.28 ;read;Das Reich der blauen Flamme;2;9783492705523;58189112;Piper ebooks                                ;Paperback             ;416;2021;2015;           ;09.07.2023;                                                                                                                                                                                                                                                                                                                     ;              ;1;31.05.2021;530;Fiction                                 ;Theo und seine GefÃ¤hrten müssen den legendÃ¤ren Kriegshelden Thion finden, um die alte Magie in die Welt zurückzuholen und den Gebannten, der nur noch als Geist existiert, zu besiegen. Doch ihre Suche gestaltet sich immer mehr als Wettlauf gegen die Zeit. Theo erkennt, dass er durch das magische Zeichen auf seiner Schulter dem Tod geweiht ist. Er bemerkt die VerÃ¤nderungen, die er durchlebt, als das Zeichen von ihm Besitz ergreift. Und die Assassinen des Nachtclans sind ihm dicht auf den Fersen, um Rache zu üben und ein finsteres Ritual zu vollziehen ...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;http://books.google.com/books/content?id=6gMEEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Der Gebannte ;Alexey Pehov             ;2;          4.07 ;read;Das Reich der blauen Flamme;1;9783492705516;56554377;Piper ebooks                                ;Paperback             ;416;2021;2014;           ;09.07.2023;                                                                                                                                                                                                                                                                                                                     ;              ;1;01.02.2021;517;Fiction                                 ;Der Sage nach hat einst ein legendÃ¤rer Magier seinen Lehrmeister, den Gebannten, in einem groÃŸen magischen Krieg besiegt. Seit dem Ende des Krieges ist die Magie aus der Welt verbannt, gemunkelt wird aber, dass sie immer noch im Untergrund schlummert. Theo verdingt sich auf dem Schwarzmarkt als VerkÃ¤ufer von mystischen Artefakten. Als er eine Statue verÃ¤uÃŸern will, gerÃ¤t er in einen Hinterhalt â€“ die Statue erwacht zum Leben und eine magische blaue Flamme entzündet sich. Bei der Flucht vor seinen Feinden trifft Theo auf Laviany, Angehörige des Nachtclans. Sie hat sich mit ihrer Assassinengilde überworfen und wird ebenfalls verfolgt. Scheinbar hat ihr JÃ¤ger es auf Theos Statue abgesehen ...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;http://books.google.com/books/content?id=8-HkDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
Schattenwanderer ;Alexey Pehov             ;3;          3.98 ;read;Die Chroniken von Siala;1;9783492701860;7713773;Piper Verlag                                ;Paperback             ;558;2010;2002;12.01.2020;30.12.2019;Als Hörbuch gelesen:<br/><br/>Geschichte ist kurzweilig und recht abwechslungsreich geschrieben.<br/>- Sehr blumig geschrieben<br/>- Charaktere sind gut entwickelt                                                                                                                                                  ;              ;1;01.02.2012;560;Fiction                                 ;Nach Jahrhunderten des Friedens ist der namenlose Schrecken erwacht. Eine riesige Armee formiert sich in den Ã–den Landen. Tausende Giganten, Oger und Kreaturen des Todes finden sich zusammen â€“ erstmals unter dem gemeinsamen schwarzen Banner;
The Bird and the Sword ;Amy Harmon               ;0;          4.19 ;to-read           ;The Bird and the Sword Chronicles;1;9781533134134;29008738;Createspace Independent Publishing Platform ;Paperback             ;328;2016;2016;           ;09.01.2017;                                                                                                                                                                                                                                                                                                                     ;              ;0;2017-05       ;0;Amnesia                                 ;Publication information from Amazon.com.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;http://books.google.com/books/content?id=se41swEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
Der Fluch des Wüstenfeuers ;Andrea Bottlinger        ;0;          3.75 ;to-read           ;;;9783608960273;31675259;                                            ;Paperback             ;367;2016;                          ;           ;03.05.2018;                                                                                                                                                                                                                                                                                                                     ;              ;0;              ;          ;                                        ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
Herr aller Dinge ;Andreas Eschbach         ;0;          4.15 ;to-read           ;;;9783785724293;11762245;BASTEI LÃœBBE                                ;Hardcover             ;687;2011;2011;           ;10.10.2019;                                                                                                                                                                                                                                                                                                                     ;              ;0;16.09.2011;779;Fiction                                 ;"Was wÃ¤re, wenn alle Menschen gleich reich wÃ¤ren? Zwei Kinder aus zwei Welten, die unterschiedlicher kaum sein könnten: Charlotte, die Tochter des französischen Botschafters in Tokio, und Hiroshi, der Sohn der WÃ¤scherin. Sie begegnen sich im Alter von zehn Jahren und freunden sich an, obwohl die Eltern den Kontakt missbilligen. Zu unüberwindbar seien die Unterschiede zwischen Arm und Reich, sagen sie - und bringen Hiroshi damit auf eine ebenso einfache wie geniale Idee. Die Wege der Freunde trennen sich, führen Jahre spÃ¤ter wieder zusammen und trennen sich erneut. Die ganze Zeit über verfolgt Hiroshi nur ein Ziel: die Umsetzung seines Planes zur Ãœberwindung aller sozialen Unterschiede. Denn nur so, glaubt er, kann er Charlottes Liebe gewinnen. Mit ""Herr aller Dinge"" ist Bestsellerautor Andreas Eschbach ein spannender Scifi-Roman gelungen, der mit Utopien und surrealen Gesellschaftsentwürfen spielt.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ";http://books.google.com/books/content?id=xC4rIjqKUFkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
